property_id,address,city,state,zip_code,price,beds,baths,sqft,property_type,year_built,school_rating,neighborhood,listing_status,days_on_market,auction_date,auction_start_price,hoa_fee,description,image_url,latitude,longitude
121da30a-f4f4-47c4-b962-2b71dd4e2295,2962 Stevens Village,Boston,MA,02122,889320,4,3.5,2245,Single Family,1929,3.1,Back Bay,active,83,,,0,"Beautiful single family in the heart of Back Bay, Boston. Private backyard and patio. Close to restaurants and shops. Top-rated school district. Recently updated kitchen and bathrooms.",https://picsum.photos/seed/a44b2ad5/800/600,42.319304,-71.066045
47d76734-d0f7-4012-b72c-a5698d2f0dd9,6666 Sanchez Views,New York,NY,10024,659598,1,1.0,757,Single Family,1962,3.4,SoHo,pending,80,,,0,Stunning 1-bedroom single family located in SoHo. Open floor plan with natural light. Close to restaurants and shops. Hardwood floors throughout. Private backyard and patio.,https://picsum.photos/seed/ff464bc8/800/600,40.687324,-74.037455
055407dc-444f-41f1-8017-4507b2bc884e,572 Brian Dam,New York,NY,10055,436720,3,4.0,1696,Condo,1973,6.1,Park Slope,pending,103,,,500,"Charming condo with 4.0 bathrooms in desirable Park Slope. Recently updated kitchen and bathrooms. Hardwood floors throughout. Close to restaurants and shops. Features 1,696 sqft of living space. Private backyard and patio.",https://picsum.photos/seed/8b155077/800/600,40.649052,-74.03005
d31156ee-6e40-41fc-850e-5c1dbb44ef36,4172 Suzanne Squares,Portland,OR,97265,375334,3,2.5,2499,Single Family,2012,8.9,Sellwood,active,86,,,0,Stunning 3-bedroom single family located in Sellwood. Close to restaurants and shops. Built in 2012. Open floor plan with natural light. Private backyard and patio.,https://picsum.photos/seed/651d995a/800/600,45.552848,-122.654752
1f8616c8-fb38-4931-a421-f3a3d1183fd2,6303 Nicholas Burg,Austin,TX,78780,546623,2,2.5,1733,Single Family,1941,3.9,Downtown Austin,sold,63,,,0,Stunning 2-bedroom single family located in Downtown Austin. Built in 1941. Hardwood floors throughout. Close to restaurants and shops.,https://picsum.photos/seed/3c18b6c5/800/600,30.222831,-97.741714
d28054b2-6285-43c3-b4e0-b93138c72e8b,5090 Watson Squares,Seattle,WA,98187,701078,4,4.5,2294,Multi-Family,2015,4.7,Capitol Hill,active,52,,,0,Charming multi-family with 4.5 bathrooms in desirable Capitol Hill. Hardwood floors throughout. Private backyard and patio. Close to restaurants and shops. Top-rated school district. Recently updated kitchen and bathrooms.,https://picsum.photos/seed/b1090aa8/800/600,47.506234,-122.413921
3dec5695-c084-4784-ab58-9ef587f0bada,9073 Elizabeth Cliffs,Nashville,TN,37247,541308,4,4.0,2954,Single Family,2011,7.8,Germantown,active,13,,,0,"Charming single family with 4.0 bathrooms in desirable Germantown. Built in 2011. Features 2,954 sqft of living space. Top-rated school district. Hardwood floors throughout.",https://picsum.photos/seed/f27aa09d/800/600,36.130971,-86.715623
18d089de-f0ad-41d1-8663-822d530274e8,9747 Monroe Ways,Chicago,IL,60696,357433,5,4.5,2706,Multi-Family,1947,4.0,Logan Square,active,92,,,0,"Beautiful multi-family in the heart of Logan Square, Chicago. Top-rated school district. Private backyard and patio. Open floor plan with natural light. Close to restaurants and shops.",https://picsum.photos/seed/c04b1ede/800/600,41.7874,-87.603152
e9d65662-7931-4b31-a6dd-2bcd32494d14,6447 Anthony Lakes,Chicago,IL,60623,320078,1,1.0,1120,Multi-Family,1981,9.2,Hyde Park,sold,118,,,0,Charming multi-family with 1.0 bathrooms in desirable Hyde Park. Private backyard and patio. Open floor plan with natural light. Hardwood floors throughout. Top-rated school district. Built in 1981.,https://picsum.photos/seed/837ece0b/800/600,41.81283,-87.566751
e0980fbf-d80d-4cdd-9644-92622d95482c,3660 Christian Club,Miami,FL,33180,956068,3,3.5,1674,Multi-Family,1972,7.7,Miami Beach,auction,114,2026-05-15,790153,0,"Beautiful multi-family in the heart of Miami Beach, Miami. Open floor plan with natural light. Private backyard and patio. Recently updated kitchen and bathrooms.",https://picsum.photos/seed/52cc12ed/800/600,25.724482,-80.144436
a6361b06-9a0c-4bd4-8bc9-5b91e5674122,8664 Ashley Via,Chicago,IL,60611,250958,3,3.5,1757,Condo,1991,9.5,Logan Square,auction,74,2026-05-28,191386,350,"Beautiful condo in the heart of Logan Square, Chicago. Close to restaurants and shops. Built in 1991. Features 1,757 sqft of living space.",https://picsum.photos/seed/fb0d84d7/800/600,41.953595,-87.645323
515670fe-f1c3-4f13-8f8a-e3f358732bad,9305 Hernandez Falls,Austin,TX,78796,267222,1,1.5,802,Condo,1927,5.9,East Austin,active,97,,,400,"Beautiful condo in the heart of East Austin, Austin. Close to restaurants and shops. Built in 1927. Open floor plan with natural light. Recently updated kitchen and bathrooms. Features 802 sqft of living space.",https://picsum.photos/seed/1a217e2e/800/600,30.330005,-97.822604
